강원_합계,강원_종합소매,강원_ 백화점,강원_ 대형마트/유통전문점,강원_ 슈퍼마켓,강원_ 편의점,강원_ 면세점,강원_전자상거래/통신판매,강원_식료품,강원_ 일반식료품,강원_ 건강보조식품,강원_의류/잡화,강원_ 의복/직물,강원_ 복식잡화,강원_ 시계/귀금속/안경,강원_ 화장품,강원_연료,강원_가구/가전,강원_ 가구,강원_ 가전제품/정보통신기기,강원_의료/보건,강원_ 종합병원,강원_ 일반병의원/기타의료기관,강원_자동차,강원_ 국산자동차신품,강원_ 기타운송수단,강원_ 자동차 부품 및 정비,강원_여행/교통,강원_ 여행사/자동차임대,강원_ 항공사,강원_ 대중교통,강원_오락/문화,강원_ 스포츠/오락/여가,강원_ 서적/문구,강원_교육,강원_숙박/음식,강원_ 숙박,강원_ 음식점,강원_공과금/개인 및 전문 서비스,강원_금융/보험,강원_기타
6165.87,1211.15,53.84,667.77,344.61,144.62,0.32,11.52,220.25,207.94,12.31,304.99,183.77,22.41,49.04,49.77,855.48,144.57,29.78,114.79,562.9,135.78,427.12,211.7,0.97,14.71,196.02,20.72,4.54,0.0,16.18,454.15,419.48,34.67,135.86,1384.35,169.23,1215.11,172.96,1.16,474.11
7171.88,1451.53,62.55,795.14,401.39,192.11,0.35,11.28,272.27,258.1,14.18,330.83,201.51,24.93,53.73,50.66,931.21,183.24,32.64,150.6,562.51,135.79,426.71,206.11,0.7,15.8,189.6,23.94,5.49,0.0,18.45,569.39,534.32,35.07,138.76,1793.42,281.66,1511.76,190.58,1.07,505.74
6540.71,1327.5,46.18,719.65,378.64,182.66,0.37,11.7,233.5,222.45,11.05,282.64,158.95,22.99,50.79,49.9,844.98,164.5,27.71,136.79,566.22,138.94,427.28,210.27,0.97,18.64,190.66,25.21,5.19,0.01,20.01,496.23,466.2,30.03,142.01,1569.01,243.35,1325.66,172.35,1.33,493.27
7199.75,1501.53,49.44,824.88,418.56,208.3,0.34,13.46,259.3,248.24,11.06,273.79,155.62,22.94,47.06,48.17,898.36,242.07,30.55,211.52,573.23,143.57,429.66,215.33,1.01,13.24,201.09,23.8,5.89,0.0,17.91,473.66,438.52,35.14,143.27,1891.07,328.78,1562.29,184.77,1.5,504.62
8179.65,1627.5,42.25,857.51,476.11,251.35,0.28,12.73,335.39,323.61,11.78,240.31,124.03,20.98,48.79,46.52,1022.75,170.34,30.73,139.61,593.15,149.26,443.89,218.7,0.79,13.78,204.14,32.39,7.63,0.0,24.76,546.0,510.5,35.5,180.99,2491.26,581.94,1909.32,186.44,1.33,520.36
6715.6,1366.56,54.2,733.33,386.09,192.62,0.31,13.03,298.1,277.95,20.14,290.65,171.49,23.09,44.53,51.53,903.77,142.77,32.25,110.52,579.06,142.29,436.77,222.6,0.49,16.01,206.1,28.9,6.46,0.0,22.44,475.39,439.76,35.63,147.61,1561.87,223.16,1338.71,176.28,1.13,507.87
7523.95,1529.63,69.59,818.22,421.69,219.8,0.33,11.9,355.06,339.29,15.76,306.35,196.56,23.22,42.02,44.56,1026.56,159.6,30.54,129.06,515.17,126.42,388.76,194.23,0.76,11.9,181.57,31.78,7.92,0.01,23.85,571.67,541.36,30.31,133.84,2020.75,349.38,1671.37,178.44,0.91,488.05
6637.68,1288.0,93.13,673.28,344.34,176.87,0.38,13.27,235.05,224.06,10.99,332.23,219.86,24.38,39.27,48.71,980.71,176.27,29.4,146.87,575.58,140.46,435.12,274.79,0.55,9.7,264.54,23.56,5.09,0.0,18.47,480.8,451.05,29.75,141.36,1460.69,198.3,1262.39,174.07,1.48,479.82
6851.35,1307.03,76.49,691.93,353.25,185.12,0.24,15.32,252.51,240.92,11.59,307.01,189.97,24.29,42.53,50.23,1031.92,139.05,29.19,109.87,606.29,148.99,457.29,255.96,0.45,8.91,246.61,21.92,4.9,0.06,16.96,379.38,337.8,41.57,148.85,1716.29,279.55,1436.74,183.32,1.72,484.77
6852.17,1340.06,57.16,703.47,374.59,204.51,0.33,19.53,260.33,249.17,11.16,250.97,145.78,18.67,42.64,43.89,1008.43,148.25,29.2,119.04,612.93,150.07,462.86,176.53,0.8,8.57,167.17,20.77,5.55,0.0,15.22,359.14,326.12,33.02,150.17,1871.17,402.31,1468.86,183.39,1.64,448.85
6137.31,1330.56,52.3,732.28,373.54,172.12,0.32,16.85,286.22,270.36,15.86,229.93,130.77,16.26,39.82,43.09,928.63,135.2,26.14,109.06,522.9,125.78,397.12,152.52,0.57,8.63,143.32,17.29,4.36,0.0,12.92,287.67,257.21,30.46,166.65,1480.58,249.37,1231.22,162.3,1.45,418.56
6525.87,1270.45,61.84,678.95,347.77,181.46,0.42,21.43,221.71,210.91,10.81,295.44,170.17,22.47,52.42,50.37,941.67,164.41,33.78,130.63,606.04,142.78,463.27,226.11,0.73,17.92,207.47,19.83,5.42,0.0,14.41,399.76,348.62,51.14,163.16,1513.56,182.29,1331.27,193.35,1.5,487.45
