전남_합계,전남_종합소매,전남_ 백화점,전남_ 대형마트/유통전문점,전남_ 슈퍼마켓,전남_ 편의점,전남_ 면세점,전남_전자상거래/통신판매,전남_식료품,전남_ 일반식료품,전남_ 건강보조식품,전남_의류/잡화,전남_ 의복/직물,전남_ 복식잡화,전남_ 시계/귀금속/안경,전남_ 화장품,전남_연료,전남_가구/가전,전남_ 가구,전남_ 가전제품/정보통신기기,전남_의료/보건,전남_ 종합병원,전남_ 일반병의원/기타의료기관,전남_자동차,전남_ 국산자동차신품,전남_ 기타운송수단,전남_ 자동차 부품 및 정비,전남_여행/교통,전남_ 여행사/자동차임대,전남_ 항공사,전남_ 대중교통,전남_오락/문화,전남_ 스포츠/오락/여가,전남_ 서적/문구,전남_교육,전남_숙박/음식,전남_ 숙박,전남_ 음식점,전남_공과금/개인 및 전문 서비스,전남_금융/보험,전남_기타
6611.08,1311.74,87.38,733.2,381.32,109.33,0.51,14.07,325.87,311.34,14.54,342.38,223.06,19.94,48.35,51.04,1080.59,194.23,26.89,167.33,556.73,127.26,429.47,215.75,0.24,12.98,202.53,22.71,6.28,0.25,16.18,412.93,383.46,29.46,125.04,1370.19,81.81,1288.37,245.53,0.25,393.08
5861.83,1191.21,59.9,663.71,362.34,104.93,0.33,12.74,262.65,252.37,10.28,276.52,166.38,17.71,44.54,47.89,964.36,178.96,23.92,155.05,543.42,125.98,417.44,217.82,0.3,13.74,203.78,13.17,4.33,0.28,8.56,336.69,310.18,26.51,129.53,1141.65,63.21,1078.44,213.24,0.67,379.19
6340.02,1305.63,60.84,739.09,391.41,113.99,0.31,15.45,273.02,263.59,9.42,278.39,168.91,18.34,44.88,46.26,978.1,287.71,27.41,260.31,577.22,132.12,445.1,225.92,0.21,12.46,213.25,14.37,4.81,0.34,9.22,336.21,305.13,31.08,133.3,1293.62,71.2,1222.42,236.74,0.46,383.89
6577.66,1322.03,49.19,733.81,412.75,125.68,0.6,15.99,326.5,316.44,10.06,229.71,124.57,15.23,46.37,43.54,1041.69,192.55,25.47,167.08,600.99,139.18,461.81,222.08,0.29,14.45,207.34,23.92,6.27,0.41,17.24,344.97,313.25,31.72,139.92,1465.31,105.38,1359.93,272.3,0.31,379.37
6184.69,1255.97,66.82,695.2,377.84,115.85,0.27,21.95,382.31,363.6,18.71,279.17,173.7,17.16,39.07,49.24,1018.35,156.38,29.26,127.12,577.84,127.7,450.13,219.68,0.31,12.05,207.32,12.07,4.41,0.38,7.28,318.74,287.42,31.32,135.51,1148.8,59.45,1089.36,254.19,0.31,403.41
6587.64,1393.87,85.02,761.98,417.15,129.0,0.71,14.16,375.43,363.04,12.39,307.99,209.0,17.93,38.6,42.46,1087.23,162.98,26.47,136.51,515.24,115.79,399.45,191.19,0.15,10.72,180.32,22.41,6.09,0.39,15.93,399.28,374.72,24.56,121.52,1322.42,82.35,1240.07,299.93,0.31,373.7
6187.25,1143.33,92.06,612.22,327.01,111.65,0.39,14.69,266.91,257.93,8.98,346.76,248.24,17.79,36.23,44.5,1129.05,163.6,25.33,138.27,575.88,129.72,446.16,226.22,0.3,10.62,215.31,13.13,4.35,0.38,8.4,381.72,356.4,25.32,133.58,1148.38,64.66,1083.71,272.28,0.43,371.31
6342.22,1190.76,88.31,648.03,346.14,107.7,0.57,15.28,290.38,280.99,9.38,319.95,216.77,17.95,39.14,46.1,1187.52,172.43,25.92,146.5,628.73,141.81,486.92,226.42,0.25,8.81,217.36,10.66,3.65,0.56,6.45,307.18,272.55,34.63,141.48,1196.12,61.48,1134.63,268.34,0.45,386.53
6016.84,1170.14,61.29,641.86,357.63,108.22,1.14,14.82,271.66,262.31,9.35,243.57,150.99,13.79,38.97,39.82,1105.93,156.12,25.47,130.65,644.24,139.54,504.7,189.39,0.24,9.67,179.48,11.2,3.35,0.44,7.42,234.2,205.21,28.99,144.86,1155.15,59.63,1095.53,332.44,0.53,342.59
5816.58,1228.09,60.18,699.06,366.84,101.2,0.8,11.95,386.74,367.54,19.2,226.32,137.9,12.4,36.18,39.84,1070.68,147.55,23.68,123.87,556.99,120.4,436.59,177.38,0.21,9.26,167.91,9.96,3.19,0.38,6.39,222.99,196.98,26.0,137.64,989.4,49.9,939.5,313.25,0.42,337.23
6341.05,1174.19,74.05,637.59,345.26,116.55,0.75,14.57,264.55,254.33,10.21,293.77,185.53,17.83,46.26,44.15,1164.78,171.29,28.45,142.83,629.93,131.95,497.98,212.57,0.25,10.74,201.58,11.29,4.06,0.39,6.84,338.2,281.26,56.94,146.88,1199.85,60.24,1139.61,327.44,0.65,391.08
6426.29,1227.49,74.93,664.4,367.19,120.5,0.48,13.21,296.59,287.01,9.58,295.9,187.5,18.19,47.3,42.92,1118.42,171.0,26.02,144.98,584.7,123.08,461.62,209.02,0.19,11.43,197.4,15.45,4.65,0.41,10.4,344.73,314.7,30.03,129.45,1291.68,67.77,1223.92,329.94,0.59,398.11
6943.21,1355.63,76.56,738.78,404.71,134.69,0.89,15.48,336.85,321.84,15.01,315.83,202.21,20.2,46.47,46.95,1173.63,192.36,27.31,165.06,620.19,130.74,489.45,226.52,0.28,14.93,211.32,16.4,5.72,0.42,10.25,388.14,358.95,29.19,134.5,1432.41,72.85,1359.55,314.19,0.5,420.58
6423.03,1289.76,58.12,689.35,405.37,136.32,0.6,15.84,286.29,276.52,9.77,272.8,167.42,18.83,43.26,43.3,1132.75,185.64,26.86,158.77,595.6,126.64,468.97,227.21,0.11,12.54,214.56,13.81,5.31,0.39,8.11,339.47,313.71,25.76,136.65,1266.77,62.0,1204.78,262.88,0.54,397.01
6939.88,1405.96,62.62,764.42,432.18,145.92,0.82,17.39,289.34,280.39,8.94,268.88,164.59,17.98,45.33,40.98,1167.19,274.18,27.22,246.96,623.21,135.27,487.94,242.11,0.34,11.27,230.51,15.8,4.94,0.46,10.4,328.45,298.97,29.49,141.75,1426.91,75.92,1351.0,330.67,0.62,407.42
7118.52,1421.19,47.43,759.44,458.03,155.33,0.96,15.73,333.97,325.05,8.92,225.41,123.15,15.91,45.26,41.1,1204.13,185.14,27.21,157.93,646.25,140.31,505.94,231.79,0.34,10.89,220.55,22.37,5.59,0.63,16.15,323.05,292.95,30.1,154.5,1577.01,107.77,1469.23,372.05,0.44,405.49
