울산_합계,울산_종합소매,울산_ 백화점,울산_ 대형마트/유통전문점,울산_ 슈퍼마켓,울산_ 편의점,울산_ 면세점,울산_전자상거래/통신판매,울산_식료품,울산_ 일반식료품,울산_ 건강보조식품,울산_의류/잡화,울산_ 의복/직물,울산_ 복식잡화,울산_ 시계/귀금속/안경,울산_ 화장품,울산_연료,울산_가구/가전,울산_ 가구,울산_ 가전제품/정보통신기기,울산_의료/보건,울산_ 종합병원,울산_ 일반병의원/기타의료기관,울산_자동차,울산_ 국산자동차신품,울산_ 기타운송수단,울산_ 자동차 부품 및 정비,울산_여행/교통,울산_ 여행사/자동차임대,울산_ 항공사,울산_ 대중교통,울산_오락/문화,울산_ 스포츠/오락/여가,울산_ 서적/문구,울산_교육,울산_숙박/음식,울산_ 숙박,울산_ 음식점,울산_공과금/개인 및 전문 서비스,울산_금융/보험,울산_기타
4550.03,1047.83,209.27,493.21,258.31,86.3,0.74,14.37,140.09,131.29,8.8,191.96,101.08,11.47,39.05,40.36,611.18,124.48,31.91,92.57,564.78,136.63,428.15,159.0,0.41,11.51,147.08,8.92,3.47,0.0,5.45,200.27,152.6,47.67,199.89,862.96,29.01,833.96,144.98,0.9,278.41
4423.7,998.37,195.76,459.02,257.27,85.62,0.69,12.4,141.05,131.53,9.52,200.06,109.76,12.12,38.13,40.05,592.4,119.0,27.25,91.75,559.56,137.07,422.49,159.73,0.67,11.93,147.13,8.78,3.15,0.0,5.63,175.09,149.29,25.8,183.51,861.36,29.41,831.95,148.95,0.83,262.61
4752.23,1152.28,232.49,543.12,277.96,98.02,0.69,14.09,160.83,150.53,10.3,212.75,117.97,12.9,42.09,39.79,601.41,143.17,27.96,115.21,545.67,133.76,411.91,163.25,0.31,13.01,149.93,8.34,3.08,0.0,5.26,186.7,163.4,23.3,184.81,953.43,34.56,918.86,147.73,0.64,277.13
4475.9,1036.84,179.13,485.8,272.65,98.59,0.67,12.74,139.73,131.22,8.51,187.13,95.75,12.51,39.46,39.41,576.15,119.39,24.5,94.89,558.07,141.24,416.83,165.23,0.85,13.16,151.23,8.88,2.65,0.02,6.21,171.27,147.95,23.32,190.52,886.06,29.28,856.78,154.68,0.84,268.38
4894.72,1158.16,198.6,555.58,294.79,108.49,0.7,19.21,144.14,135.56,8.58,191.14,97.48,14.24,39.38,40.05,618.49,181.21,28.0,153.21,572.51,142.55,429.95,178.54,0.68,12.68,165.18,9.29,3.63,0.0,5.66,175.55,147.96,27.59,198.99,979.29,34.0,945.29,182.1,1.1,285.0
4740.65,1100.1,176.37,514.84,297.8,110.64,0.46,14.95,152.27,144.14,8.14,156.1,67.18,12.64,39.56,36.73,624.35,146.65,32.04,114.6,597.32,149.72,447.6,169.68,1.02,14.01,154.65,9.15,3.02,0.0,6.13,171.65,145.75,25.9,191.15,985.79,36.64,949.14,148.1,0.91,272.49
4697.61,1124.17,221.32,507.68,281.46,113.07,0.65,12.08,167.13,153.03,14.1,182.75,93.96,13.37,34.96,40.46,621.3,128.76,33.57,95.19,574.24,132.9,441.34,172.4,0.56,14.1,157.73,11.02,3.49,0.0,7.53,169.76,141.49,28.27,193.59,894.06,32.17,861.88,162.19,1.29,282.86
4645.15,1174.11,233.85,552.55,276.92,110.25,0.55,14.31,172.95,163.81,9.14,189.63,109.84,13.14,32.92,33.72,608.76,134.29,32.96,101.33,516.45,120.12,396.33,141.19,0.44,10.97,129.78,9.3,3.32,0.0,5.98,180.54,160.35,20.19,177.71,904.07,33.29,870.78,158.52,0.79,262.55
4686.7,1100.89,250.34,488.55,254.67,106.67,0.67,12.51,145.52,137.78,7.74,211.28,127.18,12.75,32.56,38.79,646.71,136.0,28.76,107.24,581.08,140.46,440.62,161.0,0.39,11.19,149.42,9.34,3.01,0.0,6.33,182.07,159.49,22.58,185.23,888.3,34.36,853.95,146.59,0.88,279.31
4972.29,1125.68,243.74,507.59,269.28,104.55,0.53,13.55,177.74,170.17,7.56,197.38,109.54,13.36,35.76,38.73,683.13,129.24,29.95,99.29,638.11,150.25,487.86,164.81,0.48,11.7,152.62,10.14,3.16,0.0,6.99,176.24,149.71,26.53,196.04,998.45,36.23,962.22,165.42,1.02,295.33
