충남_합계,충남_종합소매,충남_ 백화점,충남_ 대형마트/유통전문점,충남_ 슈퍼마켓,충남_ 편의점,충남_ 면세점,충남_전자상거래/통신판매,충남_식료품,충남_ 일반식료품,충남_ 건강보조식품,충남_의류/잡화,충남_ 의복/직물,충남_ 복식잡화,충남_ 시계/귀금속/안경,충남_ 화장품,충남_연료,충남_가구/가전,충남_ 가구,충남_ 가전제품/정보통신기기,충남_의료/보건,충남_ 종합병원,충남_ 일반병의원/기타의료기관,충남_자동차,충남_ 국산자동차신품,충남_ 기타운송수단,충남_ 자동차 부품 및 정비,충남_여행/교통,충남_ 여행사/자동차임대,충남_ 항공사,충남_ 대중교통,충남_오락/문화,충남_ 스포츠/오락/여가,충남_ 서적/문구,충남_교육,충남_숙박/음식,충남_ 숙박,충남_ 음식점,충남_공과금/개인 및 전문 서비스,충남_금융/보험,충남_기타
10083.86,2130.67,105.27,1090.03,642.36,292.91,0.1,23.51,441.68,396.64,45.04,503.06,241.97,27.69,57.51,175.89,1601.86,313.96,55.34,258.63,791.15,138.39,652.76,328.83,0.31,19.2,309.31,19.62,3.6,0.69,15.33,429.72,371.53,58.19,361.08,1832.24,76.31,1755.93,455.87,1.73,848.87
10124.28,2254.95,130.21,1161.73,674.94,287.96,0.12,26.62,472.18,427.1,45.08,516.22,278.47,26.84,54.44,156.47,1614.32,328.92,50.67,278.25,729.06,127.77,601.3,282.69,0.17,15.8,266.72,18.15,3.76,0.61,13.78,465.59,421.92,43.67,345.19,1904.63,98.34,1806.29,398.7,1.17,765.88
10468.77,2113.33,130.01,1095.13,611.43,276.75,0.01,25.95,389.07,360.07,29.0,599.04,337.55,29.01,52.47,180.0,1768.01,385.43,46.28,339.15,809.24,145.5,663.74,357.06,0.18,14.13,342.75,16.86,3.07,0.71,13.08,461.09,416.23,44.86,392.93,1811.54,75.17,1736.38,466.85,1.41,870.95
10579.28,2102.43,113.51,1113.64,609.93,265.35,0.0,27.14,363.17,341.53,21.64,538.58,276.19,30.29,59.06,173.04,1825.92,324.22,46.33,277.89,879.04,151.46,727.58,354.22,0.38,12.64,341.2,16.13,2.25,0.73,13.15,403.83,340.57,63.26,391.06,1988.89,83.92,1904.97,481.19,1.73,881.72
10031.55,2100.27,89.8,1124.84,625.43,260.2,0.0,25.98,353.37,328.31,25.06,468.07,223.8,22.56,59.03,162.67,1709.52,347.62,51.78,295.83,901.81,152.99,748.83,287.4,0.19,11.26,275.95,13.97,2.63,0.7,10.64,332.23,283.04,49.19,386.9,1863.92,83.99,1779.93,432.16,2.11,806.21
9493.6,2121.27,87.94,1177.03,621.41,234.89,0.0,22.41,436.91,397.62,39.29,430.13,193.86,20.89,54.96,160.41,1642.24,328.75,47.23,281.53,775.62,129.96,645.67,252.24,0.2,11.93,240.11,14.16,3.65,0.53,9.97,302.59,257.49,45.11,378.97,1622.85,68.43,1554.42,399.77,1.78,763.9
10676.43,2114.81,102.79,1110.67,617.49,283.86,0.0,27.92,347.55,319.05,28.5,525.96,256.96,29.07,71.59,168.34,1797.72,395.65,61.07,334.58,894.3,146.22,748.08,331.05,0.32,21.99,308.74,16.71,3.8,0.93,11.97,459.62,371.31,88.31,415.19,1961.89,73.11,1888.78,485.01,2.7,900.35
10659.55,2185.57,99.89,1145.87,646.11,293.7,0.0,25.64,380.62,351.8,28.82,535.76,269.35,30.06,69.5,166.85,1735.18,396.3,58.1,338.2,825.29,139.93,685.36,327.42,0.26,25.52,301.64,17.96,3.95,0.68,13.32,465.13,412.72,52.41,369.69,2060.35,78.57,1981.78,457.33,2.32,874.98
10946.35,2235.38,112.54,1118.27,690.72,313.71,0.14,27.15,377.0,342.95,34.05,556.28,275.02,31.24,70.15,179.86,1754.52,432.49,61.85,370.64,827.53,142.91,684.61,340.04,0.39,23.74,315.91,18.34,4.07,0.62,13.65,511.03,455.54,55.49,382.91,2130.23,85.66,2044.57,474.66,2.3,876.5
10831.02,2284.5,85.06,1174.22,692.43,332.78,0.0,23.37,357.12,328.92,28.21,503.56,231.42,32.13,68.28,171.72,1802.22,411.56,57.91,353.64,839.93,144.81,695.12,346.5,0.14,23.23,323.12,19.52,4.17,0.76,14.59,460.75,411.77,48.99,382.86,2061.74,83.2,1978.54,447.91,2.61,886.88
11389.59,2464.84,91.15,1305.84,723.54,344.3,0.01,27.81,351.79,330.0,21.79,491.59,217.93,30.63,72.12,170.91,1858.92,534.79,54.13,480.66,863.73,152.29,711.44,370.3,0.24,22.6,347.46,16.32,3.37,0.7,12.25,445.52,392.75,52.77,387.59,2246.21,110.11,2136.1,454.56,2.42,873.2
